City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mataura,-46.1927,168.8643,4.48,93,21,1.35,NZ,46800
1,qaanaaq,77.484,-69.3632,-16.59,86,100,2.0,GL,-14400
2,bluff,-46.6,168.3333,8.84,78,66,5.34,NZ,46800
3,ushuaia,-54.8,-68.3,8.81,81,75,3.09,AR,-10800
4,ayorou,14.7308,0.9174,30.2,11,0,3.58,NE,3600
5,juanjui,-7.1779,-76.7314,33.97,36,66,0.74,PE,-18000
6,manggar,-2.8833,108.2667,25.78,84,100,2.38,ID,25200
7,santa maria,-29.6842,-53.8069,24.61,38,75,8.75,BR,-10800
8,hithadhoo,-0.6,73.0833,27.41,75,96,3.78,MV,18000
9,airai,-8.9266,125.4092,15.84,78,83,0.77,TL,32400
10,kitzingen,49.7333,10.1667,8.04,81,72,2.92,DE,3600
11,ardakan,32.31,54.0175,17.56,21,0,1.85,IR,12600
12,soria,41.6667,-2.6667,11.03,100,92,2.6,ES,3600
13,salta,-24.7859,-65.4117,29.76,25,0,6.17,AR,-10800
14,thompson,55.7435,-97.8558,-3.91,86,100,6.17,CA,-21600
15,poltavka,54.3663,71.7632,-1.36,92,100,4.75,RU,21600
16,yumen,40.2833,97.2,1.62,37,17,4.2,CN,28800
17,egvekinot,66.3167,-179.1667,-3.9,97,98,3.52,RU,43200
18,longyearbyen,78.2186,15.6401,-0.09,74,75,6.17,SJ,3600
19,bengkulu,-3.8004,102.2655,24.62,85,100,1.86,ID,25200
20,meulaboh,4.1363,96.1285,24.8,87,100,1.18,ID,25200
21,monterey,36.2505,-121.2516,16.21,1,74,0.62,US,-28800
22,carutapera,-1.195,-46.02,29.92,60,76,4.04,BR,-10800
23,punta arenas,-53.15,-70.9167,18.06,45,0,9.26,CL,-10800
24,savelugu,9.6244,-0.8253,31.4,26,34,3.06,GH,0
25,phalombe,-15.8064,35.6507,24.49,60,95,1.84,MW,7200
26,saskylakh,71.9167,114.0833,-31.46,100,38,1.25,RU,32400
27,grindavik,63.8424,-22.4338,5.26,75,75,2.57,IS,0
28,hobart,-42.8794,147.3294,10.15,94,11,1.88,AU,39600
29,mar del plata,-38.0023,-57.5575,25.46,79,0,12.52,AR,-10800
30,yar-sale,66.8333,70.8333,-3.74,96,95,3.13,RU,18000
31,chuy,-33.6971,-53.4616,19.91,62,12,6.34,UY,-10800
32,port alfred,-33.5906,26.891,20.1,82,33,2.68,ZA,7200
33,roebourne,-20.7833,117.1333,21.75,56,54,7.62,AU,28800
34,evensk,61.95,159.2333,-0.55,83,100,5.63,RU,39600
35,olinda,-8.0089,-34.8553,25.85,78,75,3.09,BR,-10800
36,jamestown,42.097,-79.2353,21.8,63,100,8.23,US,-18000
37,iqaluit,63.7506,-68.5145,-8.15,62,75,4.12,CA,-18000
38,aswan,24.0934,32.907,23.66,26,23,3.74,EG,7200
39,cape town,-33.9258,18.4232,20.15,72,0,1.03,ZA,7200
40,kruisfontein,-34.0033,24.7314,20.49,80,37,7.9,ZA,7200
